trajectory,actual_t_mm,an_t_mm,fd_t_mm,cond
VI,155.51164313387608,38.55642943685088,219.8461731721215,7.738159140874081
VI,150.77622149254947,36.16231957580381,247.13310274304277,7.683631205742282
VI,142.9207220869589,35.48969862125503,365.5246154964509,7.850393612111761
VI,146.13187207268174,35.99897463362218,359.8646062155749,7.796402337010378
VI,140.4697413618283,35.59833204018639,300.69814311184723,8.083263536126557
VI,145.17656821009552,36.29180111597067,229.16129528741635,7.88584076540744
VI,149.5814655486203,36.56587087289949,249.23638311125657,8.206473009644185
VI,153.2348873357083,39.98220914644901,415.8989194519329,8.332937022519507
VI,151.82725281081477,39.418750469803136,405.148582794594,7.926997970940321
VI,147.04226207341455,35.38977553492694,211.3191107264986,8.019708768192876
VI,146.57261339987306,36.71007415977907,326.3614227286675,7.820302961492179
VI,144.65174663817623,37.8568702266798,247.3160864004817,7.759488935546898
VI,149.36010390970475,38.61027799440275,196.7808907979873,7.820938200837617
VI,160.24068067590756,45.64825745623085,209.0099472511119,7.878045691416442
VI,159.12579005109154,47.70733624454146,348.4192927962096,7.985544521661794
VI,148.6976320882904,39.201767656177495,309.01869228548634,8.128710836432731
VI,140.17590728802492,35.50075258254766,422.232750881716,8.121595067331144
VI,153.4255241375386,39.99274693855013,221.23491817957196,7.850074123029005
VI,160.4164466702503,45.47067975310075,192.00500744519212,7.662310405323608
VI,156.01867013861295,41.91106263890863,189.4333178928524,8.078431718948691
VI,148.8239941304845,36.53077150846957,208.9067472275616,7.810298036511262
VI,141.36939411395073,36.49082564386345,265.4356042433232,7.585879254249781
VI,134.50930788705188,38.77945515495043,1966.075898071906,7.50856426849901
VI,140.62938667261983,38.70429276090612,242.30851994983897,7.590520774724233
VI,146.1834752608405,36.12507594727603,213.9092105490497,7.274055809204192
VI,152.20455816014305,36.49806481916123,258.97522677057367,7.849767512829298
VI,150.69311814827188,36.74497376395155,222.50468957857416,7.784853527183448
VI,149.38511522807283,37.69491509583696,272.4580922192617,7.603555605929676
VI,134.0081653790296,36.08215175235079,317.8430581119829,7.823544296806928
VI,144.38033884124337,35.898132654311354,267.82410737665947,7.524947863278557
VI,148.87172133730414,38.34789208585293,215.0969439746996,7.623717994773369
VI,149.1336892035042,37.39671325789944,220.66347026240956,8.28604886423567
VI,150.35516294887526,34.97723811622837,214.5217097041578,8.351618751441645
