trajectory,rms_mm,rms_pa_mm,actual_t_mm,fo_err_deg,fd_err_deg
VI,99.54345409379596,32.04016813534773,142.9144475278715,10.484731230824925,9.156566889104933
VI,95.19479151554486,31.19019431033629,138.08906217385436,8.508564938501438,12.443908262834293
VI,105.32567175278092,36.33243488017905,151.10847481377692,20.151270015666693,20.586902999242266
VI,106.7031659047124,36.49191335345158,152.70978278288007,15.744178642213432,10.080912318092297
VI,109.0020936582396,38.188452295402456,155.51164313387608,21.290846474342384,41.30929509558485
VI,104.51228766996805,35.4193238835759,150.77622149254947,16.547136352674162,10.066473621793829
VI,101.72215490387369,33.803048247122746,142.9207220869589,5.838523007076663,18.440592686789675
VI,105.32026056254404,35.288842798907766,146.13187207268174,16.254534314322473,3.7027891598245777
VI,96.16200659839907,32.56098974837855,140.4697413618283,11.043749972772526,22.536342953688756
VI,98.79789520891536,34.397190037877415,145.17656821009552,7.2326262908938945,13.352846193279298
VI,101.79064546325208,35.60068394589231,149.5814655486203,12.922013999689147,19.932533088914596
VI,107.9158146318896,39.55093489344463,153.2348873357083,24.525432476194972,56.46097760322934
VI,106.63433887643644,38.6946064882645,151.82725281081477,22.061541236307782,23.15100178160637
VI,102.57879427810228,34.67749999945082,147.04226207341455,14.572246274531853,23.765621428616612
VI,101.75192871814149,34.74365304827625,146.57261339987306,7.5299099126733955,19.551627752054888
VI,101.0716249191567,34.917284701900634,144.65174663817623,17.854264234669827,19.9435326484632
VI,103.81365014007578,37.78285302659432,149.36010390970475,10.324773908026765,15.89879988549479
VI,112.771277361757,45.17862267836019,160.24068067590756,23.822057615200144,18.29262989617609
VI,112.32861747686668,46.71235597252937,159.12579005109154,31.592953144910204,26.85165941485848
VI,103.67935477919517,38.74377325615588,148.6976320882904,28.86617279763986,19.208107129444674
VI,97.65314742736795,34.840129387985726,140.17590728802492,16.50586837454445,26.180508609546965
VI,105.28053639630008,39.44761212906178,153.4255241375386,25.31560709659046,9.564137814697528
VI,112.70037290318514,44.71152148135108,160.4164466702503,24.297487761846202,11.473043997117989
VI,111.39502042847262,41.05676650435113,156.01867013861295,19.08841531830674,15.35944145833038
VI,104.31072802454536,34.73454758988985,148.8239941304845,5.425304520710035,20.045310797027955
VI,101.31638075790713,33.87067855021668,141.36939411395073,13.667494816101257,11.313549647985031
VI,99.3493185542892,34.975192121503646,134.50930788705188,21.596249464266005,122.1663446717659
VI,100.40383500208353,35.225910385091915,140.62938667261983,22.033792085399398,7.938282621163507
VI,102.9302833577506,34.24672421536286,146.1834752608405,8.944457519705288,13.675829469108313
VI,104.70376456966784,36.06407413767668,152.20455816014305,21.17596315531341,21.288423199297878
VI,103.9035295334534,36.153296472679855,150.69311814827188,17.450434382161127,11.955277814547731
VI,105.64059502284424,37.148237075494585,149.38511522807283,19.665275313391408,10.645575440645608
VI,94.67288316433851,32.652733601645096,134.0081653790296,19.21672960299812,16.19647198168444
VI,104.11437925648382,34.89571370413725,144.38033884124337,9.164053857936787,53.760895456645756
VI,106.38441391375592,37.61976479797266,148.87172133730414,11.458236198019954,13.317036038835573
VI,104.17340942137912,36.40269538123726,149.1336892035042,10.132745591224415,12.648317852229486
VI,105.28102593247095,34.16837887534415,150.35516294887526,10.311273868348032,9.490362403705458
VI,100.16185724616076,32.90647828605015,143.78404514850806,10.052643037180696,17.476725375138916
VI,96.70302361335632,32.919738772917675,139.29281742297283,14.936764169295891,44.8338278565049
VI,98.1185078359425,32.80081851743891,140.73411180044528,12.849527425692907,44.71555545678143
VI,105.3642300461518,36.721764429290495,152.58342760433018,16.287081841751476,12.535888867547593
VI,107.328018330745,36.32559136640287,155.3584182942719,15.29234730837537,9.93325307031001
VI,105.94995660097644,35.46389642851142,154.9310343215925,12.881181345292635,25.120720955646206
VI,106.12644120416164,35.52859577747127,151.60713963371862,14.287821636680427,13.50343600027586
VI,99.45180437529584,33.174332113633035,141.60235729512584,7.887691809349849,32.23008824271572
VI,104.76483583082246,35.21044322513279,147.2192248697433,12.987305296106568,17.653570148484427
VI,98.16404326371077,33.015622532766145,142.97439667322945,13.507299395134932,14.497993055774577
VI,96.85210009206835,33.84604007633468,144.91023061336486,10.774819775755956,15.589837191204255
VI,102.55988242834556,35.50883657980408,149.922433238019,9.688345906368003,49.391135821086884
VI,105.8869469884653,36.93538417818644,153.56907382298374,19.79193483290869,30.58457993931616
VI,107.64487150988867,38.70251590126901,153.83096097291065,23.45990091092995,49.40042618874526
VI,105.9218476237484,37.08891829199593,157.36190051746766,13.413364684922936,81.04633492232313
VI,102.8233119011824,35.94195163532046,158.48341278192467,2.5821183543167727,51.74353786985615
VI,104.7792577609658,37.09548622220676,163.0950185729123,8.985124109843904,16.546884210374586
VI,108.7646545787276,41.32609057836085,165.7026831257924,6.029399165952877,15.446592675116989
VI,115.1294768392958,45.58377065821861,173.17186035793398,16.56829220369031,12.992052052801233
VI,121.4779176818458,52.47328326617935,179.55956163217843,30.4921754092029,18.45934450509279
